,EB,LAL(R),PB,none
CRE(R),2.080824029613877,0.42551705677095636,3.1947805901177513,2.5192585812271755
EB,1.2629476393660555,2.4471040333250453,3.1665535819069937,2.4790993940877035
FB,1.7216990248750152,2.1482099940047985,1.692491447062458,0.8317675007596942
LAL(R),2.458087747174635,0.30008006727039177,3.5537880978849126,2.8836173065979205
PB,3.1703035218136457,3.5470443141506864,0.4210703219151638,0.7241671946368297
none,2.538642242192508,2.9307325058576663,0.7000201512359768,0.13112056596810906
