,bodyId,type,roi,x,y,z,confidence,linksTo
206,5813087532,post,IB,20781,13325,18496,0.4526126,884
207,5813087532,post,IB,21890,11795,20584,0.707092,1256
208,5813087532,post,IB,20761,13326,18467,0.746,886
209,5813087532,post,IB,20948,13245,18541,0.972,918
210,5813087532,post,IB,22016,11779,20627,0.4544807,1231
211,5813087532,post,IB,23447,11401,22951,0.63032,4586
212,5813087532,post,IB,22522,12061,19325,0.48998573,822
213,5813087532,post,IB,22434,12114,19320,0.4875067,839
214,5813087532,post,SPS(R),16345,12167,25912,0.519468,3643
215,5813087532,pre,SPS(R),18349,10459,22271,0.63,3257
216,5813087532,post,SPS(R),17898,10425,22593,0.45893323,3265
217,5813087532,post,IB,22425,11072,21564,0.45777684,4427
218,5813087532,post,SPS(R),19975,10182,21947,0.68361,2960
219,5813087532,pre,PB,19513,11238,17766,0.97,2498
220,5813087532,pre,PB,19360,11377,17860,0.85,2281
221,5813087532,pre,PB,19380,11336,17905,0.83,2395
222,5813087532,pre,PB,19479,11503,17688,0.921,2449
223,5813087532,pre,PB,19188,11239,17551,0.957,2077
224,5813087532,pre,PB,19164,11327,17540,0.952,2272
225,5813087532,pre,PB,18830,11033,17941,0.827,2146
226,5813087532,post,SPS(R),16223,12560,26131,0.960772,3727
227,5813087532,post,SPS(R),16181,12431,25971,0.8757,3661
228,5813087532,post,SPS(R),16295,12414,25973,0.847964,3648
229,5813087532,pre,PB,19454,11506,17801,0.749,2460
230,5813087532,pre,PB,19550,11712,18460,0.81,2301
231,5813087532,pre,PB,19069,11956,17948,0.91,1976
232,5813087532,pre,PB,19556,11438,17693,0.962,2444
233,5813087532,pre,PB,19629,11537,18163,0.753,2352
234,5813087532,pre,PB,18672,11791,17892,0.883,1929
235,5813087532,pre,PB,19199,11922,17914,0.909,2009
236,5813087532,pre,PB,19541,11494,17687,0.764,2445
237,5813087532,pre,PB,19448,11463,17687,0.856,2449
238,5813087532,pre,PB,18885,11172,17933,0.934,2094
239,5813087532,pre,PB,18981,11250,17579,0.933,2080
240,5813087532,pre,PB,19425,11324,17632,0.909,2512
241,5813087532,pre,PB,19360,11065,17074,0.986,2553
242,5813087532,pre,PB,19108,11288,17558,0.908,2078
243,5813087532,pre,PB,19388,11092,17049,0.938,2553
244,5813087532,pre,PB,19401,11115,16933,0.96,2615
245,5813087532,post,PB,19618,11541,18139,0.640994,2383
246,5813087532,post,PB,18953,12224,18261,0.46240306,1805
247,5813087532,pre,PB,19228,11179,17005,0.966,2607
248,5813087532,pre,PB,19073,11033,16427,0.986,2705
249,5813087532,pre,PB,19094,11114,16395,0.909,2706
250,5813087532,pre,PB,19199,11147,16313,0.839,2720
251,5813087532,pre,PB,19203,11236,16926,0.973,2579
252,5813087532,pre,PB,18977,11073,16356,0.907,2691
253,5813087532,pre,PB,19251,11242,16992,0.614,2557
254,5813087532,post,IB,21987,11994,19915,0.550286,1312
255,5813087532,post,IB,22038,11917,19947,0.604781,1304
256,5813087532,post,IB,22002,11941,19941,0.47312725,1306
257,5813087532,post,SPS(R),19390,10751,21771,0.973754,3191
258,5813087532,post,SPS(R),16705,12913,26297,0.663823,4188
259,5813087532,post,SPS(R),19421,10886,21792,0.51673,3182
260,5813087532,post,IB,21785,13310,18684,0.658474,655
