,bodyId,type,roi,x,y,z,confidence
0,5813087532,pre,PB,18660,12160,18293,0.831
1,5813087532,post,PB,19700,11187,17803,0.47564214
2,5813087532,post,PB,19728,11132,17833,0.47736448
3,5813087532,post,PB,18514,11866,17809,0.932
4,5813087532,post,PB,18759,12138,18633,0.551391
5,5813087532,post,PB,18684,12259,18616,0.96557
6,5813087532,post,PB,18581,12358,18335,0.915376
7,5813087532,post,PB,18583,12341,18348,0.792429
8,5813087532,post,PB,19728,11531,18210,0.968717
9,5813087532,post,PB,18589,11917,18215,0.4896512
10,5813087532,post,PB,19743,11658,18339,0.959318
11,5813087532,post,PB,18616,12138,18349,0.48114663
12,5813087532,pre,PB,19494,11547,18062,0.698
13,5813087532,pre,PB,19595,11647,18094,0.838
14,5813087532,pre,PB,19660,11621,18219,0.88
15,5813087532,pre,PB,19564,11688,18214,0.892
16,5813087532,pre,PB,19246,11419,17613,0.947
17,5813087532,pre,PB,18949,11244,18197,0.857
18,5813087532,post,PB,18876,11796,17841,0.805
19,5813087532,pre,PB,18652,11706,17693,0.84
20,5813087532,pre,PB,19333,11914,18092,0.637
21,5813087532,pre,PB,18890,11308,17943,0.867
22,5813087532,pre,PB,19353,11186,16970,0.97
23,5813087532,pre,PB,19562,11265,16710,0.915
24,5813087532,post,PB,19206,11741,17885,0.47006702
25,5813087532,post,PB,19591,11510,17650,0.525062
26,5813087532,post,PB,19418,11528,17719,0.881293
27,5813087532,post,PB,19751,11636,17882,0.887951
28,5813087532,post,PB,19167,11427,17704,0.91
29,5813087532,post,PB,19451,11244,17603,0.985136
30,5813087532,post,PB,19097,11168,17506,0.420114
31,5813087532,post,PB,19306,12124,18207,0.293
32,5813087532,post,PB,19474,11430,18318,0.64
33,5813087532,post,PB,19378,12312,17975,0.965032
34,5813087532,post,PB,19341,11305,17538,0.435
35,5813087532,post,PB,19611,11450,17629,0.93687
36,5813087532,post,PB,19158,12052,17916,0.701015
37,5813087532,post,PB,19125,11664,17855,0.92
38,5813087532,post,PB,19296,12255,17972,0.757594
39,5813087532,post,PB,19478,11689,18020,0.994
40,5813087532,post,PB,19638,11688,18022,0.901091
41,5813087532,post,PB,19074,12114,18507,0.604
42,5813087532,post,PB,19338,11469,18125,0.847718
43,5813087532,post,PB,19400,11582,18163,0.597896
