,bodyId,type,roi,x,y,z,confidence,linksTo
0,5813087532,pre,PB,18660,12160,18293,0.831,5247
1,5813087532,post,PB,19700,11187,17803,0.47564214,5248
2,5813087532,post,PB,19728,11132,17833,0.47736448,5249
3,5813087532,post,PB,18514,11866,17809,0.932,5250
4,5813087532,post,PB,18759,12138,18633,0.551391,5251
5,5813087532,post,PB,18684,12259,18616,0.96557,5252
6,5813087532,post,PB,18581,12358,18335,0.915376,5253
7,5813087532,post,PB,18583,12341,18348,0.792429,5254
8,5813087532,post,PB,19728,11531,18210,0.968717,5255
9,5813087532,post,PB,18589,11917,18215,0.4896512,5256
10,5813087532,post,PB,19743,11658,18339,0.959318,5257
11,5813087532,post,PB,18616,12138,18349,0.48114663,5258
12,5813087532,pre,PB,19494,11547,18062,0.698,5259
13,5813087532,pre,PB,19595,11647,18094,0.838,5260
14,5813087532,pre,PB,19660,11621,18219,0.88,5261
15,5813087532,pre,PB,19564,11688,18214,0.892,5262
16,5813087532,pre,PB,19246,11419,17613,0.947,5263
17,5813087532,pre,PB,18949,11244,18197,0.857,5264
18,5813087532,post,PB,18876,11796,17841,0.805,5265
19,5813087532,pre,PB,18652,11706,17693,0.84,5266
20,5813087532,pre,PB,19333,11914,18092,0.637,5267
21,5813087532,pre,PB,18890,11308,17943,0.867,5268
22,5813087532,pre,PB,19353,11186,16970,0.97,5269
23,5813087532,pre,PB,19562,11265,16710,0.915,5270
24,5813087532,post,PB,19206,11741,17885,0.47006702,5271
25,5813087532,post,PB,19591,11510,17650,0.525062,5272
26,5813087532,post,PB,19418,11528,17719,0.881293,5273
27,5813087532,post,PB,19751,11636,17882,0.887951,5274
28,5813087532,post,PB,19167,11427,17704,0.91,5275
29,5813087532,post,PB,19451,11244,17603,0.985136,5276
30,5813087532,post,PB,19097,11168,17506,0.420114,5277
31,5813087532,post,PB,19306,12124,18207,0.293,5278
32,5813087532,post,PB,19474,11430,18318,0.64,5279
33,5813087532,post,PB,19378,12312,17975,0.965032,5280
34,5813087532,post,PB,19341,11305,17538,0.435,5281
35,5813087532,post,PB,19611,11450,17629,0.93687,5282
36,5813087532,post,PB,19158,12052,17916,0.701015,5283
37,5813087532,post,PB,19125,11664,17855,0.92,5284
38,5813087532,post,PB,19296,12255,17972,0.757594,5285
39,5813087532,post,PB,19478,11689,18020,0.994,5286
40,5813087532,post,PB,19638,11688,18022,0.901091,5287
41,5813087532,post,PB,19074,12114,18507,0.604,5288
42,5813087532,post,PB,19338,11469,18125,0.847718,5289
43,5813087532,post,PB,19400,11582,18163,0.597896,5290
44,5813087532,post,PB,19619,11499,17878,0.643984,5291
45,5813087532,post,PB,19462,11507,18031,0.574,5292
46,5813087532,post,PB,19010,12256,18281,0.53,5293
47,5813087532,post,PB,18770,12580,18188,0.981654,5294
48,5813087532,post,PB,19602,11705,17981,0.984594,5295
49,5813087532,post,PB,19038,11735,17797,0.47297,5296
50,5813087532,post,PB,19604,11580,17804,0.843531,5297
51,5813087532,post,PB,18959,12073,18197,0.981,5298
52,5813087532,post,PB,19027,12117,18433,0.864174,5299
53,5813087532,post,PB,18964,12047,18329,0.618,5300
54,5813087532,post,PB,18777,12468,18244,0.46368456,5301
55,5813087532,post,PB,19450,11621,18113,0.47199848,5302
56,5813087532,pre,PB,19461,11554,18165,0.901,5303
57,5813087532,post,PB,19194,11168,17357,0.52967,5304
58,5813087532,post,PB,18809,11996,18089,0.45853853,5305
59,5813087532,post,PB,18885,10894,17523,0.627279,5306
60,5813087532,post,PB,18875,10946,17479,0.504146,5307
61,5813087532,post,PB,19143,11074,17559,0.878246,5308
