,PB,SPS(R)
IB,2.177349028573886,1.582171765471225
ICL(R),2.494251750785158,1.9070189018972505
PB,0.6479956567985957,2.395170572955318
PLP(R),2.9163713130227977,0.7468432920692006
SPS(R),2.6522052654672206,1.224946814910707
none,1.8763953033499168,1.3261158191255027
